Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Faeroes              : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1928     0.3     0.5     0.6     1.2     1.7     1.8     1.6     1.5     1.3     0.7     0.4     0.2     1.2     1.7     0.8     0.3     1.0
 1929     0.4     0.4     1.1     1.1     1.7     1.8     1.7     1.5     1.0     0.5     0.2     0.2     1.3     1.7     0.6     0.3     1.0
 1930     0.2     0.4     0.7     1.2     1.6     2.0     1.6     1.3     1.1     0.5     0.4     0.2     1.2     1.7     0.6     0.3     0.9
 1931     0.3     0.3     0.6     1.1     1.5     1.8     1.6     1.5     1.1     0.7     0.3     0.3     1.1     1.6     0.7     0.4     0.9
 1932     0.4     0.5     0.7     1.0     1.5     1.9     1.7     1.5     1.0     0.6     0.4     0.3     1.1     1.7     0.7     0.3     1.0
 1933     0.2     0.4     0.7     1.0     1.6     2.0     1.8     1.6     1.1     0.6     0.4     0.2     1.1     1.8     0.7     0.3     1.0
 1934     0.3     0.4     0.6     1.0     1.7     1.9     1.8     1.4     1.0     0.6     0.4     0.1     1.1     1.7     0.7     0.3     0.9
 1935     0.3     0.3     0.7     1.0     1.6     1.8     1.8     1.5     0.9     0.5     0.3     0.2     1.1     1.7     0.6     0.2     0.9
 1936     0.2     0.3     0.6     1.1     1.7     2.0     1.7     1.5     1.0     0.7     0.4     0.2     1.1     1.7     0.7     0.3     1.0
 1937     0.2     0.3     0.5     1.1     1.7     2.0     1.6     1.4     1.0     0.5     0.4     0.3     1.1     1.7     0.6     0.3     0.9
 1938     0.3     0.4     0.7     1.3     1.6     1.9     1.7     1.6     1.0     0.6     0.3     0.3     1.2     1.7     0.7     0.3     1.0
 1939     0.3     0.4     0.8     1.2     1.7     2.0     1.6     1.5     1.1     0.8     0.3     0.2     1.2     1.7     0.7     0.3     1.0
 1940     0.4     0.4     0.6     1.1     1.7     2.1     1.6     1.5     1.0     0.6     0.4     0.4     1.1     1.7     0.7     0.3     1.0
 1941     0.2     0.4     0.7     1.1     1.6     1.9     1.7     1.4     1.1     0.8     0.5     0.3     1.2     1.7     0.8     0.3     1.0
 1942     0.4     0.4     0.7     1.2     1.7     1.9     1.8     1.4     1.0     0.6     0.4     0.3     1.2     1.7     0.7     0.3     1.0
 1943     0.3     0.4     0.7     1.1     1.6     1.8     1.8     1.4     1.1     0.5     0.4     0.3     1.1     1.7     0.7     0.3     0.9
 1944     0.2     0.4     0.7     1.0     1.5     1.8     1.6     1.5     1.1     0.6     0.3     0.3     1.1     1.7     0.7     0.4     0.9
 1945     0.4     0.5     0.8     1.2     1.7     1.9     1.8     1.6     1.2     0.7     0.5     0.4     1.2     1.8     0.8     0.4     1.1
 1946     0.4     0.4     0.8     1.3     1.8     1.9     1.8     1.6     1.0     0.7     0.4     0.4     1.3     1.7     0.7     0.3     1.0
 1947     0.4     0.2     0.6     1.0     1.7     1.9     1.8     1.7     1.1     0.7     0.4     0.3     1.1     1.8     0.7     0.4     1.0
 1948     0.3     0.5     0.9     1.1     1.6     1.7     1.7     1.4     0.9     0.6     0.5     0.3     1.2     1.6     0.7     0.4     1.0
 1949     0.4     0.5     0.7     1.2     1.5     2.0     1.9     1.5     1.1     0.7     0.4     0.2     1.1     1.8     0.7     0.3     1.0
 1950     0.4     0.4     0.8     1.0     1.7     2.0     1.7     1.5     1.0     0.6     0.3     0.2     1.2     1.7     0.7     0.3     1.0
 1951     0.3     0.4     0.6     1.0     1.7     1.9     1.9     1.4     1.1     0.7     0.5     0.3     1.1     1.8     0.7     0.3     1.0
 1952     0.2     0.4     0.7     1.3     1.6     1.7     1.8     1.5     1.0     0.6     0.3     0.3     1.2     1.7     0.6     0.5     0.9
 1953     0.4     0.7     1.0     1.0     1.7     1.9     1.6     1.6     1.1     0.7     0.4     0.5     1.2     1.7     0.8     0.4     1.1
 1954     0.4     0.4     0.7     1.3     1.7     1.9     1.6     1.4     0.8     0.6     0.4     0.2     1.2     1.6     0.6     0.2     1.0
 1955     0.1     0.2     0.7     1.4     1.6     2.0     2.1     1.6     1.2     0.5     0.6     0.2     1.2     1.9     0.8     0.3     1.0
 1956     0.2     0.5     0.8     1.1     1.8     1.9     1.7     1.3     1.0     0.7     0.6     0.4     1.2     1.6     0.8     0.4     1.0
 1957     0.5     0.3     0.5     1.3     1.6     1.6     1.5     1.4     1.0     0.6     0.4     0.3     1.1     1.5     0.7     0.2     0.9
 1958     0.1     0.1     0.7     1.2     1.2     1.7     1.6     1.3     0.9     0.7     0.6     0.4     1.0     1.5     0.7     0.5     0.9
 1959     0.3     0.7     0.9     1.0     1.5     1.9     1.6     1.3     1.2     0.7     0.4     0.5     1.1     1.6     0.7     0.4     1.0
 1960     0.5     0.3     0.9     1.2     1.6     2.0     2.0     1.5     1.3     0.6     0.7     0.6     1.2     1.8     0.9     0.5     1.1
 1961     0.6     0.3     0.4     0.8     2.1     1.9     1.9     1.7     1.1     0.7     0.6     0.3     1.1     1.8     0.8     0.3     1.0
 1962     0.4     0.3     0.4     1.3     1.6     1.9     1.8     1.5     1.0     0.4     0.2     0.3     1.1     1.7     0.6     0.6     0.9
 1963     0.6     0.9     0.9     1.2     1.7     1.7     2.0     1.5     1.1     0.6     0.1     0.5     1.3     1.7     0.6     0.5     1.1
 1964     0.4     0.5     1.2     1.0     1.5     2.0     1.8     1.4     0.8     0.7     0.4     0.3     1.3     1.7     0.6     0.3     1.0
 1965     0.3     0.4     0.6     1.1     1.3     1.7     1.7     1.5     0.8     0.8     0.4     0.1     1.0     1.6     0.7     0.2     0.9
 1966     0.3     0.1     0.3     1.5     1.6     1.6     1.8     1.6     0.8     0.6     0.5     0.2     1.1     1.7     0.6     0.2     0.9
 1967     0.1     0.4     0.2     0.9     1.4     1.8     1.7     1.2     0.9     0.5     0.3     0.1     0.8     1.6     0.6     0.1     0.8
 1968     0.0     0.3     0.4     0.8     1.4     1.6     1.7     1.6     0.9     0.1     0.8     0.5     0.8     1.6     0.6     0.2     0.8
 1969     0.0     0.2     0.6     1.2     1.3     1.9     1.5     1.4     0.8     0.1     0.3     0.3     1.0     1.6     0.4     0.3     0.8
 1970     0.3     0.3     0.3     1.0     1.5     1.8     1.7     1.1     0.7     0.4     0.2     0.4     0.9     1.5     0.5     0.2     0.8
 1971     0.0     0.3     0.6     1.1     1.4     2.0     1.6     1.4     1.0     0.7     0.3     0.2     1.0     1.7     0.7     0.4     0.9
 1972     0.4     0.4     0.7     1.1     1.6     1.9     1.7     1.6     1.0     0.6     0.2     0.2     1.1     1.7     0.6     0.2     1.0
 1973     0.3     0.1     0.7     1.1     1.5     1.7     1.6     1.5     1.0     0.6     0.3     0.0     1.1     1.6     0.6     0.2     0.9
 1974     0.2     0.2     0.8     1.2     1.5     1.9     1.8     1.4     1.1     0.8     0.3     0.2     1.2     1.7     0.7     0.3     1.0
 1975     0.2     0.4     0.7     0.9     1.7     1.8     1.7     1.4     0.9     0.6     0.4     0.0     1.1     1.6     0.6     0.2     0.9
 1976     0.2     0.4     0.7     1.0     1.4     1.8     1.7     1.5     1.1     0.6     0.2     0.3     1.1     1.7     0.7     0.3     0.9
 1977     0.2     0.5     0.6     1.1     1.6     2.0     1.7     1.4     1.1     0.6     0.3     0.3     1.1     1.7     0.6     0.3     0.9
 1978     0.2     0.2     0.7     1.1     1.6     1.8     1.6     1.4     0.9     0.7     0.4     0.5     1.1     1.6     0.7     0.5     0.9
 1979     0.3     0.5     0.6     1.0     1.3     1.8     1.4     1.3     0.9     0.6     0.4     0.3     0.9     1.5     0.6     0.3     0.9
 1980     0.4     0.3     0.8     1.2     1.8     1.7     1.6     1.4     0.9     0.7     0.5     0.3     1.3     1.6     0.7     0.3     1.0
 1981     0.2     0.4     0.6     1.1     1.3     1.8     1.6     1.5     0.8     0.5     0.3     0.3     1.0     1.6     0.5     0.3     0.9
 1982     0.2     0.4     0.7     1.2     1.5     2.1     2.0     1.5     1.0     0.8     0.3     0.4     1.2     1.8     0.7     0.5     1.0
 1983     0.5     0.5     0.7     1.0     1.7     2.0     1.8     1.6     1.1     0.7     0.4     0.4     1.1     1.8     0.8     0.4     1.0
 1984     0.4     0.3     0.8     1.2     1.8     2.0     1.8     1.7     1.1     0.7     0.3     0.4     1.3     1.8     0.7     0.4     1.1
 1985     0.4     0.5     0.6     1.1     1.6     1.8     1.6     1.3     1.1     0.6     0.6     0.3     1.1     1.6     0.8     0.4     1.0
 1986     0.5     0.5     0.5     1.2     1.4     2.0     1.7     1.6     1.2     0.6     0.3     0.3     1.1     1.8     0.7     0.4     1.0
 1987     0.6     0.4     0.7     1.0     1.8     1.9     1.7     1.5     1.1     0.6     0.3     0.2     1.2     1.7     0.7     0.2     1.0
 1988     0.2     0.2     0.5     1.1     1.6     2.0     1.5     1.4     1.0     0.5     0.3     0.3     1.1     1.6     0.6     0.3     0.9
 1989     0.2     0.3     0.6     1.1     1.6     1.8     1.8     1.4     1.0     0.6     0.3     0.4     1.1     1.7     0.7     0.4     0.9
 1990     0.4     0.3     0.6     1.1     1.7     1.8     1.8     1.5     1.1     0.7     0.2     0.4     1.1     1.7     0.7     0.5     1.0
 1991     0.5     0.6     0.7     1.1     1.8     2.0     1.7     1.6     1.2     0.7     0.4     0.4     1.2     1.8     0.8     0.4     1.1
 1992     0.4     0.4     0.6     1.1     1.7     2.2     1.8     1.5     1.0     0.9     0.6     0.3     1.1     1.8     0.8     0.3     1.0
 1993     0.3     0.2     0.7     1.2     1.6     1.9     1.6     1.5     1.1     0.7     0.6     0.4     1.2     1.6     0.8     0.4     1.0
 1994     0.2     0.5     0.6     1.0     1.8     1.8     1.7     1.5     1.1     0.7     0.4     0.3     1.1     1.7     0.7     0.3     1.0
 1995     0.4     0.3     0.6     1.1     1.4     2.1     1.6     1.6     1.0     0.5     0.3     0.3     1.1     1.8     0.6     0.3     0.9
 1996     0.4     0.4     0.8     1.0     1.6     1.8     1.7     1.2     1.2     0.6     0.4     0.3     1.2     1.6     0.7     0.3     1.0
 1997     0.2     0.3     0.5     1.0     1.4     1.9     1.4     1.5     1.3     0.8     0.4     0.4     0.9     1.6     0.8     0.3     0.9
 1998     0.4     0.1     0.6     1.1     1.6     1.8     1.6     1.5     0.9     0.9     0.6     0.6     1.1     1.7     0.8     0.5     1.0
 1999     0.5     0.4     0.7     1.0     1.7     2.1     1.7     1.8     1.1     1.0     0.6     0.6     1.1     1.8     0.9     0.6     1.1
 2000     0.6     0.5     0.7     1.1     1.9     2.1     1.9     1.6     1.2     1.0     0.6     0.4     1.2     1.9     0.9     0.6     1.1
 2001     0.9     0.6     0.8     1.3     1.7     2.0     1.7     1.5     1.3     0.8     0.6     0.7     1.3     1.7     0.9     0.5     1.1
 2002     0.5     0.4     0.8     1.3     1.5     1.9     1.7     1.4     1.2     1.0     0.7     0.7     1.2     1.7     1.0     0.6     1.1
 2003     0.5     0.7     1.0     1.4     1.6     1.9     1.7     1.9     1.3     1.1     0.5     0.5     1.3     1.8     1.0     0.4     1.2
 2004     0.3     0.4     1.0     1.2     1.8     1.8     1.9     1.7     1.3     0.9     0.4     0.5     1.3     1.8     0.9     0.5     1.1
 2005     0.5     0.6     0.7     1.2     1.8     2.0     1.8     1.6     1.1     0.7     0.6     0.6     1.2     1.8     0.8     0.6     1.1
 2006     0.6     0.6     0.8     1.4     1.9     2.1     1.8     1.6     1.1     1.0     0.5     0.7     1.4     1.8     0.9     0.5     1.2
 2007     0.4     0.4     1.0     1.3     1.8     2.1     1.8     1.7     1.4     0.9     0.6     0.6     1.4     1.8     1.0     0.5     1.2
 2008     0.5     0.5     0.9     1.3     2.0     2.1     1.8     1.7     1.3     1.0     0.6     0.6     1.4     1.8     1.0     0.5     1.2
 2009     0.6     0.4     0.8     1.2     1.9     2.2     1.8     1.6     1.2     0.8     0.4     0.5     1.3     1.9     0.8     0.6     1.1
 2010     0.6     0.5     0.9     1.1     1.8     2.0     1.8     1.6     1.2     0.8     0.6     0.5     1.3     1.8     0.9     0.5     1.1
 2011     0.5     0.4     0.8     1.3     1.7     1.9     1.8     1.5     1.2     0.8     0.5     0.5     1.3     1.8     0.8     0.5     1.1
 2012     0.6     0.5     0.9     1.3     1.9     2.1     1.9     1.5     1.3     0.9     0.5     0.6     1.4     1.8     0.9     0.7     1.2
 2013     0.6     0.7     1.1     1.3     1.7     2.1     1.8     1.6     1.2     0.7     0.7     0.5     1.4     1.8     0.9     0.5     1.2
 2014     0.5     0.4     0.9     1.2     1.6     1.9     1.8     1.8     1.1     0.9     0.4     0.6     1.2     1.8     0.8     0.5     1.1
 2015     0.5     0.5     0.8     1.3     1.7     1.8     1.6     1.5     1.3     0.8     0.5     0.4     1.3     1.7     0.8     0.5     1.1
 2016     0.5     0.5     0.8     1.3     1.8     2.1     1.8     1.5     1.1     0.9     0.6     0.5     1.3     1.8     0.9  -999.0     1.1
