Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Macquarie_Isl        : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1946     6.5     6.9     6.8     4.6     4.2     2.8     2.6     2.5     2.6     3.0     3.3     4.5     5.2     2.6     3.0     5.9     4.2
 1947     6.2     7.0     7.0     4.6     4.0     2.2     2.6     2.9     2.6     3.1     5.0     6.0     5.2     2.6     3.6     6.5     4.4
 1948     7.0     6.5     6.2     4.8     4.1     3.5     2.7     2.8     2.9     3.6     4.5     6.0     5.0     3.0     3.7     6.1     4.6
 1949     6.2     6.0     4.9     4.2     4.1     2.9     1.6     1.9     2.3     3.7     4.2     5.7     4.4     2.1     3.4     6.2     4.0
 1950     7.4     5.5     4.8     4.2     3.8     1.6     3.2     1.7     3.4     4.0     4.2     5.2     4.3     2.2     3.9     6.0     4.1
 1951     6.4     6.5     6.2     5.3     4.0     2.6     3.0     2.5     2.8     2.4     4.6     6.3     5.2     2.7     3.3     6.3     4.4
 1952     6.2     6.4     4.9     4.4     2.6     2.5     3.9     3.8     4.1     3.0     4.0     7.0     4.0     3.4     3.7     7.0     4.4
 1953     7.6     6.5     6.0     4.8     3.6     2.3     3.3     2.9     2.1     3.9     4.1     5.5     4.8     2.9     3.4     6.1     4.4
 1954     6.1     6.6     6.4     4.9     4.4     2.0     0.7     1.8     2.1     2.8     4.4     6.2     5.2     1.5     3.1     6.5     4.0
 1955     7.0     6.4     5.4     4.6     4.1     2.2     3.0     2.8     2.7     4.3     4.4     6.0     4.7     2.7     3.8     6.6     4.4
 1956     7.5     6.4     5.7     5.8     4.8     4.1     2.6     2.9     3.2     3.9     4.6     7.1     5.4     3.2     3.9     7.5     4.9
 1957     7.8     7.5     6.5     5.5     3.3     2.3     2.6     3.5     4.0     3.0     4.6     5.6     5.1     2.8     3.9     6.5     4.7
 1958     6.6     7.4     6.1     4.8     4.0     3.1     2.0     2.5     2.9     3.8     4.8     5.5     5.0     2.6     3.9     6.0     4.5
 1959     6.6     6.0     5.0     5.0     2.4     2.7     2.4     3.0     3.0     3.3     3.8     5.8     4.1     2.7     3.4     6.3     4.1
 1960     6.3     6.8     6.3     5.4     4.1     3.4     3.3     2.5     3.1     4.2     4.7     5.6     5.3     3.1     4.0     5.7     4.6
 1961     6.2     5.4     5.0     4.7     3.7     2.5     1.7     3.5     2.7     4.0     4.6     6.3     4.5     2.6     3.8     6.7     4.2
 1962     6.4     7.3     6.3     5.0     4.4     3.7     3.2     2.8     3.3     4.0     4.9     6.1     5.2     3.3     4.0     6.6     4.8
 1963     6.7     6.9     5.3     4.4     2.1     2.8     2.4     1.7     3.3     3.4     3.1     4.5     3.9     2.3     3.3     5.9     3.9
 1964     6.5     6.6     5.6     4.3     3.4     2.5     3.1     1.6     3.2     3.8     4.1     6.5     4.4     2.4     3.7     6.8     4.3
 1965     7.3     6.7     6.6     4.8     3.8     3.6     3.0     2.9     3.7     2.8     3.7     4.8     5.1     3.2     3.4     5.7     4.5
 1966     5.7     6.7     6.0     4.9     4.2     2.6     2.5     2.9     2.9     2.8     4.1     5.3     5.0     2.7     3.3     6.3     4.2
 1967     7.1     6.4     6.1     4.3     3.5     3.8     3.2     3.4     3.3     3.7     3.5     5.6     4.6     3.5     3.5     6.3     4.5
 1968     6.7     6.5     6.2     5.6     5.0     3.7     2.7     3.6     2.8     2.9     4.6     6.3     5.6     3.4     3.4     7.0     4.7
 1969     7.6     7.0     5.2     4.2     4.0     2.1     3.2     2.9     2.9     2.0     4.5     6.0     4.5     2.8     3.2     6.2     4.3
 1970     6.2     6.5     6.2     4.8     4.0     3.5     3.2     3.4     1.6     3.6     5.0     6.2     5.0     3.4     3.4     7.4     4.5
 1971     8.0     8.0     7.1     5.8     5.3     4.0     4.2     4.0     2.2     4.0     4.7     7.0     6.1     4.1     3.7     7.1     5.4
 1972     7.0     7.2     6.6     4.7     3.5     1.9     2.4     3.0     2.4     2.7     3.9     5.6     4.9     2.4     3.0     6.2     4.2
 1973     6.6     6.4     5.9     4.8     2.9     3.2     4.6     3.4     3.5     3.2     3.8     6.1     4.6     3.8     3.5     6.8     4.5
 1974     7.1     7.3     6.2     5.3     3.6     2.5     2.2     2.1     3.8     3.5     5.3     7.9     5.0     2.3     4.2     8.2     4.7
 1975     9.1     7.7     7.5     5.4     3.3     3.2     2.4     2.3     3.0     3.1     4.6     5.3     5.4     2.6     3.6     6.2     4.7
 1976     6.4     6.9     6.4     5.0     3.9     2.2     2.1     2.8     3.5     3.6     4.7     7.4     5.1     2.4     4.0     7.7     4.6
 1977     7.6     8.2     7.0     4.9     4.0     2.9     3.4     4.1     3.3     3.0     4.4     6.2     5.3     3.5     3.5     7.0     4.9
 1978     7.3     7.4     5.8     5.5     4.9     2.7     4.3     3.5     4.1     4.1     4.3     6.2     5.4     3.5     4.2     6.4     5.0
 1979     6.8     6.3     6.3     5.6     4.1     4.4     4.3     2.9     2.8     4.5     4.8     6.3     5.3     3.9     4.0     7.3     4.9
 1980     7.8     7.9     7.2     6.2     4.8     3.4     3.5     3.7     4.2     4.0     4.1     6.3     6.1     3.6     4.1     6.6     5.3
 1981     6.8     6.6     7.0     6.1     4.9     3.4     3.4     3.2     3.3     4.2     5.0     6.8     6.0     3.3     4.2     6.9     5.1
 1982     6.8     7.1     6.8     5.9     4.8     4.0     2.9     2.7     3.5     3.0     3.0     4.6     5.8     3.2     3.2     5.9     4.6
 1983     6.5     6.5     4.8     4.2     3.0     2.8     3.1     3.2     3.0     3.8     5.0     5.6     4.0     3.0     3.9     6.9     4.3
 1984     7.3     7.8     7.8     5.0     4.4     4.0     3.5     2.9     3.8     3.9     4.7     7.1     5.7     3.5     4.1     7.9     5.2
 1985     8.4     8.2     6.7     5.5     4.3     4.1     3.4     3.5     3.3     4.4     5.2     6.3     5.5     3.7     4.3     7.7     5.3
 1986     8.0     8.7     7.6     6.0     3.5     2.6     2.8     3.6     2.9     4.9     5.2     7.3     5.7     3.0     4.3     7.9     5.3
 1987     8.2     8.2     6.9     5.2     4.1     2.7     3.2     3.0     2.3     3.7     5.1     5.9     5.4     3.0     3.7     6.6     4.9
 1988     7.0     6.8     5.0     4.7     2.3     2.2     3.2     2.6     3.7     3.7     4.8     7.4     4.0     2.7     4.1     8.1     4.5
 1989     8.9     8.0     6.3     5.8     4.9     3.6     3.7     4.2     4.6     4.9     4.4     5.4     5.7     3.8     4.7     6.4     5.4
 1990     6.7     7.1     6.0     4.0     3.0     3.7     3.6     2.7     3.1     3.1     5.0     5.4     4.3     3.4     3.8     6.0     4.5
 1991     6.6     5.9     6.4     4.9     3.5     2.7     3.0     3.1     3.8     3.7     4.6     6.1     4.9     3.0     4.1     6.9     4.5
 1992     7.7     6.8     5.6     5.2     3.5     2.9     3.0     1.6     3.1     3.9     5.2     6.1     4.8     2.5     4.1     7.0     4.6
 1993     7.3     7.5     6.5     6.0     4.6     2.7     4.1     3.1     3.3     3.7     4.6     6.3     5.7     3.3     3.9     6.8     5.0
 1994     6.8     7.3     6.5     5.0     4.0     2.6     2.8     2.1     1.5     3.5     3.8     5.4     5.2     2.5     3.0     6.1     4.3
 1995     6.2     6.7     5.6     5.6     4.4     1.9     0.8     3.0     3.2     2.8     4.3     5.3     5.2     1.9     3.5     6.6     4.2
 1996     7.2     7.2     6.8     5.8     4.1     2.4     2.8     2.9     4.1     3.9     4.8     6.5     5.6     2.7     4.3     7.1     4.9
 1997     7.6     7.3     6.1     5.2     4.5     4.0     3.4     2.7     2.6     2.7     3.1     5.4     5.3     3.4     2.8     6.2     4.5
 1998     6.4     6.8     5.4     4.3     4.0     3.3     2.9     2.4     3.7     3.4     4.8     6.8     4.6     2.9     4.0     7.3     4.5
 1999     7.1     8.0     6.6     5.3     4.7     3.0     3.1     3.2     4.5     4.6     5.1     5.5     5.5     3.1     4.7     6.2     5.1
 2000     6.7     6.5     5.7     4.6     3.8     2.9     4.1     2.5     4.6     4.3     4.2     6.8     4.7     3.2     4.4     6.8     4.7
 2001     6.9     6.6     6.5     5.8     3.4     3.3     3.6     3.2     4.2     4.3     5.1     6.6     5.2     3.4     4.5     7.7     5.0
 2002     8.2     8.4     5.9     5.5     3.3     3.0     3.8     3.0     3.3     4.3     5.4     6.6     4.9     3.3     4.4     6.8     5.1
 2003     7.3     6.6     6.5     5.6     3.7     2.7     2.6     3.8     2.6     3.7     3.9     5.2     5.3     3.1     3.4     6.3     4.5
 2004     7.2     6.5     6.2     5.0     3.9     3.2     3.0     2.0     2.8     3.0     4.5     5.3     5.0     2.8     3.5     6.8     4.4
 2005     7.3     7.8     6.5     5.5     3.6     3.6     3.0     3.3     2.8     4.3     5.6     8.3     5.2     3.3     4.3     7.6     5.1
 2006     6.9     7.5     6.0     6.2     5.0     2.8     2.8     3.0     2.8     3.1     3.1     5.4     5.7     2.9     3.0     6.5     4.6
 2007     7.1     7.0     6.2     4.8     4.6     2.0     1.7     3.7     3.7     3.6     4.6     6.7     5.2     2.5     4.0     7.0     4.6
 2008     7.0     7.3     6.5     5.5     4.4     3.5     3.2     2.8     3.7     2.9     3.5     5.9     5.5     3.2     3.4     6.5     4.7
 2009     7.1     6.4     6.3     5.8     4.3     3.2     2.3     3.8     3.8     3.4     3.5     6.1     5.5     3.1     3.6     7.2     4.7
 2010     7.6     7.8     6.0     5.0     4.8     3.8     3.5     3.6     1.7     4.0     5.5     6.5     5.3     3.7     3.7     6.9     5.0
 2011     7.2     7.1     5.9     5.0     3.8     3.9     1.5     2.7     3.4     4.5     4.5     6.6     4.9     2.7     4.1     6.9     4.7
 2012     6.6     7.4     6.5     6.2     4.1     2.2     3.8     4.5     3.6     2.8     5.0     6.3     5.6     3.5     3.8     6.8     4.9
 2013     7.0     7.1     6.7     5.1     3.8     2.7     2.6     3.7     3.1     3.5     4.4     6.3     5.2     3.0     3.7     6.7     4.7
 2014     6.5     7.4     7.0     6.4     3.9     4.1     3.7     3.1     3.5     3.6     4.4     7.1     5.8     3.7     3.9     7.5     5.1
 2015     7.6     7.9     7.1     5.0     4.2     2.2     2.5     2.0     2.7     3.3     4.0     5.9     5.4     2.2     3.4     6.2     4.5
 2016     6.3     6.4     5.9     5.1     3.8     4.1     3.3     3.7     4.5     4.9     5.5     6.9     4.9     3.7     5.0  -999.0     5.0
